user_id,product_id,viewed,clicked,purchased,category,price
141,248,1,0,0,Electronics,1300
959,44,1,1,1,Books,1464
81,207,1,1,0,Toys,279
375,137,1,0,0,Electronics,1637
634,464,1,0,0,Toys,1926
490,38,0,1,1,Home Appliances,1110
968,83,1,1,0,Books,352
910,363,1,0,0,Electronics,826
982,218,1,0,0,Books,565
270,10,1,1,0,Sports,1298
960,255,1,1,0,Clothes,615
790,54,0,1,1,Sports,637
256,136,1,1,0,Electronics,1786
46,223,1,0,0,Sports,1969
925,10,0,1,0,Sports,1298
441,58,1,1,0,Home Appliances,794
615,203,1,0,0,Clothes,252
616,5,1,0,0,Perfumes,1215
456,94,1,0,0,Clothes,594
703,87,1,0,0,Sports,1636
314,453,0,0,0,Sports,1347
987,452,1,0,0,Sports,858
145,24,1,0,0,Clothes,863
587,489,1,1,0,Sports,818
166,194,1,0,0,Sports,1256
635,236,1,0,0,Perfumes,537
225,255,1,0,0,Clothes,615
819,359,1,0,0,Perfumes,313
159,29,1,0,0,Electronics,1279
65,226,1,1,0,Home Appliances,995
84,176,1,0,1,Home Appliances,1485
922,162,1,0,0,Books,1765
68,79,1,1,0,Clothes,440
519,471,1,0,0,Sports,1781
350,30,1,0,0,Books,1648
26,372,1,0,0,Perfumes,437
416,116,1,0,1,Toys,491
357,460,1,0,0,Perfumes,1609
607,276,1,1,0,Sports,1044
380,184,1,0,0,Toys,850
506,135,1,1,0,Clothes,1158
403,69,1,0,0,Toys,567
502,1,0,0,0,Toys,1351
590,466,1,0,0,Home Appliances,1543
894,280,1,0,0,Perfumes,1338
866,209,0,1,1,Home Appliances,1463
579,148,1,1,0,Perfumes,1506
646,191,1,1,1,Books,1352
529,17,1,0,0,Perfumes,960
716,429,1,0,0,Books,749
624,159,1,0,0,Home Appliances,21
296,158,1,1,1,Perfumes,235
488,19,1,1,0,Perfumes,1186
432,320,1,1,0,Home Appliances,1879
820,169,1,0,0,Sports,669
360,249,1,0,1,Clothes,283
